id,code_site,depth_m,sieve_mm,passants_pct,echantillon_id,created_at,updated_at
253,KONSOGOU_T2,1.5,0.0433,14.1,6c6475c3-7c5d-4b39-8e0e-a0bd7f0c38c0,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
270,KONSOGOU_T2,2,0.0026,10.88,7f95e75d-849d-4d75-ab74-f3fc359844ad,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
269,KONSOGOU_T2,2,0.0032,10.82,7f95e75d-849d-4d75-ab74-f3fc359844ad,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
268,KONSOGOU_T2,2,0.0046,11.48,7f95e75d-849d-4d75-ab74-f3fc359844ad,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
267,KONSOGOU_T2,2,0.0064,12.13,7f95e75d-849d-4d75-ab74-f3fc359844ad,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
266,KONSOGOU_T2,2,0.0089,13.44,7f95e75d-849d-4d75-ab74-f3fc359844ad,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
265,KONSOGOU_T2,2,0.0125,14.75,7f95e75d-849d-4d75-ab74-f3fc359844ad,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
264,KONSOGOU_T2,2,0.0195,16.05,7f95e75d-849d-4d75-ab74-f3fc359844ad,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
263,KONSOGOU_T2,2,0.0272,17.36,7f95e75d-849d-4d75-ab74-f3fc359844ad,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
262,KONSOGOU_T2,2,0.0382,18.02,7f95e75d-849d-4d75-ab74-f3fc359844ad,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
279,NASSABLE,2,0.0026,11.61,e6beffb3-f375-4d87-9139-15658ac3e9a7,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
278,NASSABLE,2,0.0031,11.61,e6beffb3-f375-4d87-9139-15658ac3e9a7,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
277,NASSABLE,2,0.0044,13.31,e6beffb3-f375-4d87-9139-15658ac3e9a7,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
276,NASSABLE,2,0.0062,13.31,e6beffb3-f375-4d87-9139-15658ac3e9a7,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
275,NASSABLE,2,0.0087,14.17,e6beffb3-f375-4d87-9139-15658ac3e9a7,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
274,NASSABLE,2,0.0122,15.03,e6beffb3-f375-4d87-9139-15658ac3e9a7,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
273,NASSABLE,2,0.0192,15.88,e6beffb3-f375-4d87-9139-15658ac3e9a7,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
272,NASSABLE,2,0.027,16.73,e6beffb3-f375-4d87-9139-15658ac3e9a7,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
271,NASSABLE,2,0.038,17.59,e6beffb3-f375-4d87-9139-15658ac3e9a7,2025-10-26 17:56:29.008,2025-10-26 17:56:29.008
