id,code_site,depth_m,sieve_mm,mass_refus_cum_g,refus_cum_pct,passants_pct,echantillon_id,created_at,updated_at
438,TEKPO,1,0.04,,,39.47,222ca583-45a4-4d0d-911f-526119bfdccf,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
437,TEKPO,1,0.0305,,,37.82,222ca583-45a4-4d0d-911f-526119bfdccf,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
436,TEKPO,1,0.0193,,,35.76,222ca583-45a4-4d0d-911f-526119bfdccf,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
435,TEKPO,1,0.012,,,33.7,222ca583-45a4-4d0d-911f-526119bfdccf,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
434,TEKPO,1,0.0069,,,31.91,222ca583-45a4-4d0d-911f-526119bfdccf,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
433,TEKPO,1,0.0043,,,30.71,222ca583-45a4-4d0d-911f-526119bfdccf,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
468,TEKPO,1.5,40,,,100,7567d11b-ea28-4fa7-86d9-64462f578857,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
467,TEKPO,1.5,31.5,,,100,7567d11b-ea28-4fa7-86d9-64462f578857,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
466,TEKPO,1.5,20,,,100,7567d11b-ea28-4fa7-86d9-64462f578857,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
465,TEKPO,1.5,10,,,100,7567d11b-ea28-4fa7-86d9-64462f578857,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
464,TEKPO,1.5,5,,,100,7567d11b-ea28-4fa7-86d9-64462f578857,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
463,TEKPO,1.5,2.5,,,100,7567d11b-ea28-4fa7-86d9-64462f578857,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
462,TEKPO,1.5,1.25,2.75,0.4,99.6,7567d11b-ea28-4fa7-86d9-64462f578857,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
461,TEKPO,1.5,0.63,48.02,7.42,92.58,7567d11b-ea28-4fa7-86d9-64462f578857,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
460,TEKPO,1.5,0.315,143.92,28.47,71.53,7567d11b-ea28-4fa7-86d9-64462f578857,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
459,TEKPO,1.5,0.16,138.23,48.68,51.32,7567d11b-ea28-4fa7-86d9-64462f578857,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
458,TEKPO,1.5,0.08,45.39,55.32,44.68,7567d11b-ea28-4fa7-86d9-64462f578857,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
457,TEKPO,1.5,0.0563,,,41.27,7567d11b-ea28-4fa7-86d9-64462f578857,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
456,TEKPO,1.5,0.041,,,38.98,7567d11b-ea28-4fa7-86d9-64462f578857,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
455,TEKPO,1.5,0.0315,,,36.41,7567d11b-ea28-4fa7-86d9-64462f578857,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
454,TEKPO,1.5,0.02,,,33.41,7567d11b-ea28-4fa7-86d9-64462f578857,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
453,TEKPO,1.5,0.012,,,30.41,7567d11b-ea28-4fa7-86d9-64462f578857,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
452,TEKPO,1.5,0.0072,,,27.99,7567d11b-ea28-4fa7-86d9-64462f578857,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
451,TEKPO,1.5,0.0046,,,26.56,7567d11b-ea28-4fa7-86d9-64462f578857,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
486,TEKPO,2,40,,,100,18bbe3a6-e6cf-4a09-bb13-52b2f5fc327e,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
485,TEKPO,2,31.5,,,100,18bbe3a6-e6cf-4a09-bb13-52b2f5fc327e,2025-10-26 17:55:50.112,2025-10-26 17:55:50.112
